取得日,サイト名,記事タイトル,URL
2026-01-29 17:19,Zenn,Articles155,https://zenn.dev/topics/it
2026-01-29 17:19,Zenn,Let's get AWS Certified Solutions Architect – Professional in 7 days!!,https://zenn.dev/sora_tech/articles/9423a190996ee4
2026-01-29 17:19,Zenn,【IT就活】資格のおすすめは？ITパスポートより「AWS」を選ぶ戦略的理由,https://zenn.dev/aratajujo/articles/prove-tech-savvy-with-aws
2026-01-29 17:19,Zenn,エンジニアとして知っておくべき英単語（初編）,https://zenn.dev/ogorei/articles/itvocabulary
2026-01-29 17:19,Zenn,reina_codes,https://zenn.dev/ogorei
2026-01-29 17:19,Zenn,シンガポール政府のエンジニア組織 Gov Tech が推進する高度な DX,https://zenn.dev/yohei/articles/2020-12-07-sg-gov-tech
2026-01-29 17:19,Zenn,Yohei Onishi,https://zenn.dev/yohei
2026-01-29 17:19,Zenn,BuriKaigi2025(Insider),https://zenn.dev/hikaruworld/articles/c7785f8d804e7b
2026-01-29 17:19,Zenn,hikaruworld,https://zenn.dev/hikaruworld
2026-01-29 17:19,Zenn,こんにちは！サイボウズ情シスです。,https://zenn.dev/cybozu_it/articles/1f76eecf0efe88
2026-01-29 17:19,はてなブックマークIT,はてなブックマークって？,https://b.hatena.ne.jp/guide
2026-01-29 17:19,はてなブックマークIT,2026年のBluesky予測 - Bluesky,https://bsky.social/about/blog/01-28-2026-bluesky-2026-predictions-jp
2026-01-29 17:19,はてなブックマークIT,bsky.social,https://b.hatena.ne.jp/site/bsky.social/
2026-01-29 17:19,はてなブックマークIT,1月も終わりに近づきましたが、私たちは「行動の選択」について考えています。この疑問が浮かんだのは、ある明白で、かつ苛立たしい事実に気づいたからです。現代のソーシャルウェブが、憂鬱で、攻撃的で、人間味のない「情報の掃き溜め」になってしまったのは決して偶然ではない、という事実です。一つひとつの機能、一つひとつの選択を積み重ねて、誰かが意図的にこのように作り上げたのです。 Instagramで、知り合いの投稿がほとんど表示されなくなるように決めたのも人間です。X（旧Twitter）に、同意のないポルノを数秒で生成できるボタンを搭載しても構わないと判断したのも人間です。また、いわゆる「デジタル・コミュニティ」の最良の形を、延々とスクロールし続けてしまう無限フィードであると定義したのも人間です。 しかし、もし人間の選択によってインターネットが悪くなったのであれば、人間が別の何かを選択することで、イン,https://b.hatena.ne.jp/entry/s/bsky.social/about/blog/01-28-2026-bluesky-2026-predictions-jp
2026-01-29 17:19,はてなブックマークIT,「40Hzの音」を聞くと“脳のごみ”を2倍洗い流す　霊長類で実験　アルツハイマー病の新治療へ,https://www.itmedia.co.jp/news/articles/2601/29/news035.html
2026-01-29 17:19,はてなブックマークIT,www.itmedia.co.jp,https://b.hatena.ne.jp/site/www.itmedia.co.jp/
2026-01-29 17:19,はてなブックマークIT,ネットのコメント芸が必死すぎてキモい,https://anond.hatelabo.jp/20260129040032
2026-01-29 17:19,はてなブックマークIT,anond.hatelabo.jp,https://b.hatena.ne.jp/site/anond.hatelabo.jp/
2026-01-29 17:19,はてなブックマークIT,車に話しかけたらGeminiが返事してくれるようになった - hitode909の日記,https://blog.sushi.money/entry/2026/01/28/235900
2026-01-29 17:19,はてなブックマークIT,blog.sushi.money,https://b.hatena.ne.jp/site/blog.sushi.money/
